tract,Name,%_Staying_in_Same_Tract_as_Adults_rP_gP_pall
11001004702,"Northwest Washington, Washington, DC",0.3761
11001009509,"Michigan Park, Washington, DC",0.3534
11001009507,"Northeast Washington, Washington, DC",0.3442
11001009000,"Fort Lincoln, Washington, DC",0.3421
11001007806,"Northeast Washington, Washington, DC",0.335
11001001901,"Brightwood, Washington, DC",0.3293
11001003301,"Bloomingdale, Washington, DC",0.3275
11001006801,"Hill East, Washington, DC",0.3222
11001009508,"Northeast Washington, Washington, DC",0.3218
11001001902,"Manor Park, Washington, DC",0.3199
11001009400,"Northeast Washington, Washington, DC",0.3186
11001004600,"Northwest Washington, Washington, DC",0.3144
11001009203,"Northeast Washington, Washington, DC",0.313
11001009901,"Penn Branch, Washington, DC",0.3103
51013101602,"Colonial Village, Arlington, VA",0.3067
11001009604,"Northeast Washington, Washington, DC",0.3049
11001009503,"Northeast Washington, Washington, DC",0.3048
11001009504,"Michigan Park, Washington, DC",0.3046
11001007603,"Southeast Washington, Washington, DC",0.3045
24033802204,"District Heights, MD",0.3039
11001002201,"Northwest Washington, Washington, DC",0.3038
11001007807,"Northeast Washington, Washington, DC",0.3001
11001001803,"Brightwood, Washington, DC",0.2926
11001007601,"Southeast Washington, Washington, DC",0.2905
24033804400,"Brentwood, MD",0.2905
24033801804,"Temple Hills, MD",0.29
11001009601,"Kenilworth, Washington, DC",0.2896
11001009505,"Northeast Washington, Washington, DC",0.2882
11001007901,"Northeast Washington, Washington, DC",0.2882
11001002002,"16th Street Heights, Washington, DC",0.2874
24033807102,"Riverdale, Riverdale Park, MD",0.287
11001009602,"Mayfair, Washington, DC",0.2867
11001002101,"Brightwood Park, Washington, DC",0.2863
11001002502,"Northwest Washington, Washington, DC",0.2862
24033802103,"District Heights, MD",0.286
11001009302,"Brookland, Washington, DC",0.2845
11001002102,"Northwest Washington, Washington, DC",0.2837
11001006802,"Barney Circle, Washington, DC",0.2831
11001007100,"Southeast Washington, Washington, DC",0.2819
24033801407,"Fort Washington, MD",0.2811
24033801500,"Oxon Hill, MD",0.2809
24033802805,"Pepper Mill Village, Capitol Heights, MD",0.2795
24033803601,"Springdale, MD",0.2774
11001011100,"Northeast Washington, Washington, DC",0.277
24033801802,"Temple Hills, MD",0.2751
