tract,Name,Household_Income_rP_gP_pall
24031705300,"Chevy Chase, MD",84705
11001000901,"Northwest Washington, Washington, DC",83482
51059470100,"McLean, VA",82599
51059480201,"McLean, VA",82361
51059480100,"Great Falls, VA",81865
51013100300,"Old Glebe, Arlington, VA",79954
24031704700,"Bethesda, MD",79879
24031706008,"Potomac, MD",79850
51013101601,"North Highland, Arlington, VA",79355
24031706013,"Bethesda, MD",78609
51510200202,"Seminary Hill, Alexandria, VA",77445
51510202001,"Old Town, Alexandria, VA",75598
24031706009,"Potomac, MD",75554
51059470300,"McLean, VA",75452
24031705400,"Chevy Chase, MD",75039
24031705701,"Bethesda, MD",74387
24031705901,"Bethesda, MD",73822
24031705702,"Bethesda, MD",73465
51059470800,"McLean, VA",73427
51059470500,"McLean, VA",73381
24031705200,"Chevy Chase, MD",73381
11001000801,"Northwest Washington, Washington, DC",72459
51059470600,"McLean, VA",72234
24031705502,"Chevy Chase, MD",71931
24031705601,"Bethesda, MD",71449
51059471304,"Falls Church, VA",70933
51510200900,"North Ridge, Alexandria, VA",70407
24031705100,"Chevy Chase, MD",70129
11001001402,"Northwest Washington, Washington, DC",69688
51059470900,"Falls Church, VA",69480
51059470400,"McLean, VA",69468
24031705902,"Bannockburn, Bethesda, MD",69243
11001000600,"Northwest Washington, Washington, DC",69095
11001000400,"Naval Observatory, Washington, DC",69006
24033806400,"University Park, MD",68566
11001006600,"Capitol Hill, Washington, DC",68563
11001001500,"Northwest Washington, Washington, DC",68453
51013100500,"Donaldson Run, Arlington, VA",68427
11001001100,"Northwest Washington, Washington, DC",68400
51059471000,"Falls Church, VA",68266
51510201100,"North Ridge, Alexandria, VA",68217
51013100400,"Arlington, VA",67958
51510200801,"Taylor Run, Alexandria, VA",67753
24031704600,"Bethesda, MD",67664
11001001401,"Northwest Washington, Washington, DC",67215
51013101100,"East Falls Church, Arlington, VA",67189
11001000100,"Georgetown, Washington, DC",67108
11001001301,"Northwest Washington, Washington, DC",66787
11001004100,"Northwest Washington, Washington, DC",66585
51059451300,"Falls Church, VA",66502
51059452000,"Annandale, VA",66449
24031704805,"Bethesda, MD",65891
51510200404,"Landmark, Alexandria, VA",65852
51610500100,"Falls Church, VA",65670
51013100200,"Yorktown, Arlington, VA",65368
24031705903,"Bethesda, MD",65366
11001006500,"Southeast Washington, Washington, DC",65276
11001000202,"Georgetown, Washington, DC",64748
51510201000,"North Ridge, Alexandria, VA",64574
24031705000,"Bethesda, MD",64537
24031705800,"Glen Echo, MD",64477
11001001001,"American University Park, Washington, DC",64425
51059430500,"Springfield, VA",64225
51013101900,"Ashton Heights, Arlington, VA",64060
51059451200,"Falls Church, VA",63999
51059471303,"Falls Church, VA",63561
51059450601,"Falls Church, VA",63401
51510200702,"Eisenhower East, Alexandria, VA",63282
51059451000,"Annandale, VA",63049
51510201500,"Potomac West, Alexandria, VA",62840
11001000802,"Northwest Washington, Washington, DC",62735
51059451800,"Lincolnia, VA",62653
24031705501,"Chevy Chase, MD",62352
51013102100,"Glencarlyn, Arlington, VA",62318
51059470700,"McLean, VA",62264
51059451100,"Falls Church, VA",62250
11001010800,"Northwest Washington, Washington, DC",61798
51059471401,"Falls Church, VA",61519
11001008200,"Northeast Washington, Washington, DC",61417
51013101200,"Dominion Hills, Arlington, VA",61309
51610500300,"Falls Church, VA",61008
24031704804,"Bethesda, MD",60848
51013103700,"Arlington Ridge, Arlington, VA",60182
51013101000,"Arlington, VA",59822
11001001200,"Northwest Washington, Washington, DC",59671
51059450800,"Annandale, VA",59628
11001000701,"Cathedral Heights, Washington, DC",59581
51059420203,"Alexandria, VA",59271
51059452501,"Alexandria, VA",59224
11001000902,"Northwest Washington, Washington, DC",59089
51013100100,"Arlington, VA",58986
11001000502,"Northwest Washington, Washington, DC",58819
11001000300,"Northwest Washington, Washington, DC",58497
51013100900,"Tara - Leeway Heights, Arlington, VA",58482
51059450400,"Falls Church, VA",58329
51059452101,"Annandale, VA",57911
51013103401,"Fort Myer, Arlington, VA",57832
51510200403,"Landmark, Alexandria, VA",57731
51013101300,"Bluemont, Arlington, VA",57545
51059450900,"Falls Church, VA",57271
51059420700,"Alexandria, VA",57001
11001010700,"Downtown, Washington, DC",56963
51059452400,"Springfield, VA",56912
51059415200,"Alexandria, VA",56828
51013101801,"Court House, Arlington, VA",56537
51013103000,"Shirlington, Arlington, VA",56461
51059452102,"Annandale, VA",56316
51013102802,"Claremont, Arlington, VA",56238
51013100600,"Cherrydale, Arlington, VA",55945
51013102301,"Alcova Heights, Arlington, VA",55761
51059471202,"McLean, VA",55623
