"tract","Name","Household_Income_Stayed_in_Commuting_Zone_rP_gP_pall"
24005403802,"Pikesville, MD",77785
24005403803,"Pikesville, MD",76622
24005490701,"Towson, MD",75205
24005403601,"Baltimore, MD",68109
24005490500,"Towson, MD",66340
24027602100,"Ellicott City, MD",65789
24027601104,"Ellicott City, MD",65322
24005403500,"Pikesville, MD",64865
24005400500,"Catonsville, MD",64347
24027602700,"Taylor Village, Ellicott City, MD",64253
24005491000,"Baltimore, MD",64047
24005400400,"Catonsville, MD",63941
24005490400,"Towson, MD",63182
24005411309,"Perry Hall, MD",62428
24005411308,"Nottingham, MD",62217
24005490800,"Towson, MD",60998
24027602302,"Columbia, MD",60509
24005411303,"Nottingham, MD",60036
24005490603,"Baltimore, MD",59609
24003750400,"Linthicum Heights, MD",59357
24510271200,"Homeland, Baltimore, MD",59192
24510271501,"Mount Washington, Baltimore, MD",58794
24005403701,"Owings Mills, MD",57751
24005430600,"Relay, Halethorpe, MD",57732
24005401503,"Catonsville, MD",57656
24005411306,"Nottingham, MD",57267
24027606706,"Kendall Ridge, Columbia, MD",56752
24510271400,"Evergreen, Baltimore, MD",56479
24005490601,"Baltimore, MD",56311
24005411410,"Parkville, MD",56163
24005490602,"Baltimore, MD",56144
24005411404,"Parkville, MD",56068
24005491100,"Baltimore, MD",55977
24005440100,"Baltimore, MD",55809
24027601103,"West Elkridge, Elkridge, MD",55448
24005401000,"Catonsville, MD",55240
24005492002,"Parkville, MD",54818
24005411307,"Nottingham, MD",54000
24003751400,"Severn, MD",53652
24027602800,"Ellicott City, MD",53421
24005440500,"Nottingham, MD",53349
24005490703,"Towson, MD",53107
24005451702,"Middle River, MD",52793
24005401504,"Catonsville, MD",52718
24027601105,"Ellicott City, MD",52533
24003731306,"Pasadena, MD",52521
24005492200,"Parkville, MD",52395
24005491202,"Towson, MD",52264
24027606607,"Long Reach, Columbia, MD",51876
24005440200,"Nottingham, MD",51556
24027601108,"Ellicott City, MD",51532
24005400200,"Catonsville, MD",51472
24003740103,"Hanover, MD",51453
24003731308,"Pasadena, MD",51356
24005411302,"White Marsh, MD",51165
24510271300,"Roland Park, Baltimore, MD",51164
24005440800,"Rosedale, MD",51115
24005400100,"Catonsville, MD",51019
24005451701,"Middle River, MD",50881
24027601201,"Elkridge, MD",50863
24005451200,"Middle River, MD",50689
24003750801,"Glen Burnie, MD",50512
24005492101,"Parkville, MD",50392
24005430400,"Halethorpe, MD",50224
24005440600,"Rosedale, MD",50113
24005403602,"Baltimore, MD",49964
24510240200,"Riverside, Baltimore, MD",49237
24027602600,"Ellicott City, MD",49166
24005451000,"Essex, MD",48921
24005491500,"Parkville, MD",48880
24510020300,"Fells Point, Baltimore, MD",48797
24027602900,"Normandy, Ellicott City, MD",48691
24510272005,"Cross Country, Baltimore, MD",48602
24005491900,"Parkville, MD",48570
24003751200,"Linthicum Heights, MD",48562
24005452100,"Sparrows Point, MD",48561
24005450900,"Essex, MD",48531
24005492001,"Parkville, MD",48515
24005420702,"Dundalk, MD",48450
24005411408,"Nottingham, MD",48244
24005491201,"Towson, MD",48108
24005440400,"Baltimore, MD",48024
24003731309,"Riviera Beach, MD",47703
24005400702,"Baltimore, MD",47460
24003750804,"Glen Burnie, MD",47367
24005440900,"Rosedale, MD",47130
24005430700,"Halethorpe, MD",46989
24005441102,"Rosedale, MD",46888
24005411407,"Parkville, MD",46833
24005451900,"Edgemere, MD",46714
24005401400,"Catonsville, MD",46658
24510270501,"Woodring, Baltimore, MD",46182
24005430800,"Halethorpe, MD",46106
24005403401,"Pikesville, MD",46037
24005402202,"Baltimore County, MD",45776
24005491300,"Baltimore, MD",45754
24003750300,"Linthicum Heights, MD",45453
24005451802,"Middle River, MD",45452
24005420500,"Baltimore, MD",45375
24510270703,"North Harford Road, Baltimore, MD",45355
24003740201,"South Gate, Glen Burnie, MD",45228
24510271102,"Mid-Charles, Baltimore, MD",45054
24510240100,"Locust Point, Baltimore, MD",44784
24005450300,"Essex, MD",44783
24027601204,"Elkridge, MD",44655
24005420200,"Dundalk, MD",44519
24003751103,"Glen Burnie, MD",44493
24003730100,"Chestnut Hill Cove, Riviera Beach, MD",44492
24005441101,"Rosedale, MD",44337
24027606606,"Long Reach, Columbia, MD",44188
24003740102,"Hanover, MD",44073
24005452400,"Dundalk, MD",44013
24005491600,"Parkville, MD",43885
24005492402,"Owings Mills, MD",43767
24003750202,"Brooklyn Park, MD",43744
24005492102,"Parkville, MD",43516
24005400800,"Catonsville, MD",43138
24005420303,"Dundalk, MD",43076
24510220100,"Baltimore, MD",43074
24510120100,"Tuscany - Canterbury, Baltimore, MD",43060
24005420701,"Dundalk, MD",42948
24005490900,"Towson, MD",42884
24003750900,"Glen Burnie, MD",42811
24005451801,"Middle River, MD",42538
24510270402,"Glenham-Belford, Baltimore, MD",42424
24510250103,"Violetville, Baltimore, MD",42343
24005450100,"Rosedale, MD",42306
24005401505,"Catonsville, MD",42269
24005400600,"Catonsville, MD",41977
24005403702,"Pikesville, MD",41956
24005403300,"Lochearn, Pikesville, MD",41897
24510270502,"North Harford Road, Baltimore, MD",41892
24510261100,"Canton, Baltimore, MD",41706
24005452500,"Dundalk, MD",41681
24003730401,"Glen Burnie, MD",41602
24510272003,"Baltimore, MD",41529
24005430104,"Lansdowne - Baltimore Highlands, Halethorpe, MD",41490
24005452000,"Sparrows Point, MD",41484
24005420800,"Dundalk, MD",41412
24027606901,"Savage, Jessup, MD",41356
24005420900,"Dundalk, MD",41258
24003751000,"Glen Burnie, MD",41172
24027606707,"Columbia, MD",41069
24005400900,"Catonsville, MD",41056
24005450200,"Essex, MD",40998
24005400701,"Catonsville, MD",40882
24005451600,"Middle River, MD",40812
24005420100,"Dundalk, MD",40747
24005420600,"Baltimore, MD",40659
24005451803,"Middle River, MD",40605
24005451300,"Middle River, MD",40600
24510010400,"Canton, Baltimore, MD",40185
24005403402,"Pikesville, MD",40030
24510270804,"Lake Walker, Baltimore, MD",39990
24005430200,"Lansdowne - Baltimore Highlands, Lansdowne, MD",39905
24005440702,"Rosedale, MD",39870
24510272004,"Cheswolde, Baltimore, MD",39807
24005421102,"Dundalk, MD",39742
24510260501,"Joseph Lee, Baltimore, MD",39703
24510240400,"Riverside Park, Baltimore, MD",39486
24003730300,"Glen Burnie, MD",39478
24005421200,"Dundalk, MD",39299
24005450501,"Essex, MD",39074
24005402509,"Owings Mills, MD",39051
24510010100,"Canton, Baltimore, MD",39010
24005420302,"Dundalk, MD",38990
24005450400,"Essex, MD",38893
