"tract","Name","Household_Income_Stayed_in_Commuting_Zone_rP_gP_pall"
51059480100,"Great Falls, VA",83246
51059470100,"McLean, VA",79881
24031706013,"Bethesda, MD",78973
51059480201,"McLean, VA",78832
51510202001,"Old Town, Alexandria, VA",78654
24031705300,"Chevy Chase, MD",77746
24031704700,"Bethesda, MD",76465
51510200202,"Seminary Hill, Alexandria, VA",76226
51059470800,"McLean, VA",74541
24031706008,"Potomac, MD",74107
51059470500,"McLean, VA",73876
11001000801,"Northwest Washington, Washington, DC",73621
51013100400,"Arlington, VA",73498
51059471000,"Falls Church, VA",73430
51059470300,"McLean, VA",73237
24031705702,"Bethesda, MD",72840
51013100300,"Old Glebe, Arlington, VA",72577
11001001402,"Northwest Washington, Washington, DC",72380
24031706009,"Potomac, MD",72316
51059470600,"McLean, VA",72109
11001000901,"Northwest Washington, Washington, DC",71451
51013101601,"North Highland, Arlington, VA",71184
24031705901,"Bethesda, MD",70756
24031705200,"Chevy Chase, MD",70410
51059471304,"Falls Church, VA",70135
11001001401,"Northwest Washington, Washington, DC",70126
51013100500,"Donaldson Run, Arlington, VA",69966
51013101100,"East Falls Church, Arlington, VA",69890
24031705701,"Bethesda, MD",69108
51510200404,"Landmark, Alexandria, VA",69045
51059452000,"Annandale, VA",69034
51510200900,"North Ridge, Alexandria, VA",68936
24031705601,"Bethesda, MD",68860
51510200403,"Landmark, Alexandria, VA",68582
51510200702,"Eisenhower East, Alexandria, VA",68579
51510201000,"North Ridge, Alexandria, VA",68280
51059470400,"McLean, VA",67899
11001006600,"Capitol Hill, Washington, DC",66873
51510201100,"North Ridge, Alexandria, VA",66862
11001001500,"Northwest Washington, Washington, DC",66749
11001001100,"Northwest Washington, Washington, DC",66603
51059470900,"Falls Church, VA",66354
51059450601,"Falls Church, VA",66339
24031704805,"Bethesda, MD",65855
51013101900,"Ashton Heights, Arlington, VA",65443
24031705400,"Chevy Chase, MD",65340
51610500100,"Falls Church, VA",65041
51013102100,"Glencarlyn, Arlington, VA",64799
11001001001,"American University Park, Washington, DC",64796
51510202002,"Old Town, Alexandria, VA",64508
24031705902,"Bannockburn, Bethesda, MD",64177
51013103000,"Shirlington, Arlington, VA",63985
24031705800,"Glen Echo, MD",63858
51059451300,"Falls Church, VA",63589
24033806400,"University Park, MD",63436
24031705000,"Bethesda, MD",63142
51059451800,"Lincolnia, VA",63087
51059415200,"Alexandria, VA",62550
